transaction_id,user_id,transaction_datetime,transaction_amount,currency,payment_method,card_bin,is_card_present,shipping_country,billing_country,ip_country,ip_distance_km,device_type,hour_of_day,day_of_week,num_prev_tx_30d,avg_tx_amount_30d,account_age_days,same_billing_shipping,items_count,item_category,refund_history_count,chargeback_history_count,promo_used,loyalty_points,shipping_speed,billing_name_matches,is_vpn,velocity_flag,fraud_label
TX2000000,U23174,2025-06-29 21:38:25,15.81,AED,credit_card,406195,1,United Arab Emirates,United Arab Emirates,United Arab Emirates,0.0,tablet,21,6,0,147.44,11,1,2,groceries,0,0,0,38,standard,1,0,0,0
TX2000001,U23507,2025-06-26 00:55:51,13.09,BHD,apple_pay,,0,Bahrain,Bahrain,Bahrain,0.0,desktop,0,3,2,46.36,859,1,5,beauty,0,0,0,58,standard,1,0,0,0
TX2000002,U20860,2025-08-20 18:31:16,56.13,SAR,google_pay,,0,Saudi Arabia,Saudi Arabia,Saudi Arabia,0.0,mobile,18,2,2,107.44,65,1,2,home,0,0,0,117,express,1,0,0,0
TX2000003,U21294,2025-03-24 10:40:24,38.0,KWD,bank_transfer,,0,Kuwait,Kuwait,Kuwait,0.0,mobile,10,0,0,101.85,52,1,5,fashion,0,0,1,77,standard,1,0,0,0
TX2000004,U21130,2025-04-21 14:42:11,34.59,QAR,credit_card,555358,0,Qatar,Qatar,Qatar,0.0,desktop,14,0,1,106.79,241,1,1,beauty,0,1,0,44,standard,1,0,0,0
TX2000005,U21095,2025-07-14 12:59:15,25.62,SAR,debit_card,477674,1,Saudi Arabia,Saudi Arabia,Saudi Arabia,0.0,tablet,12,0,1,70.2,14,1,3,home,0,0,0,19,standard,1,0,0,1
TX2000006,U23772,2025-05-12 10:21:15,142.4,OMR,credit_card,426719,0,Oman,Saudi Arabia,United Arab Emirates,248.1,mobile,10,0,3,20.41,545,0,1,fashion,0,0,0,0,express,1,0,0,0
TX2000007,U23092,2025-08-02 11:36:55,218.67,AED,credit_card,498576,1,United Arab Emirates,United Arab Emirates,United Arab Emirates,0.0,desktop,11,5,0,147.2,626,1,4,groceries,0,0,0,168,standard,1,0,0,0
TX2000008,U21638,2025-04-14 05:36:22,59.82,SAR,debit_card,448450,1,Saudi Arabia,Saudi Arabia,Saudi Arabia,0.0,desktop,5,0,1,36.81,152,1,5,groceries,0,0,0,0,standard,1,0,0,0
TX2000009,U22169,2025-05-15 10:37:32,202.37,QAR,apple_pay,,0,Qatar,Qatar,Oman,93.1,mobile,10,3,1,117.76,1066,1,5,sports,0,0,1,107,standard,1,0,0,0
TX2000010,U20466,2025-03-29 00:31:09,42.23,QAR,credit_card,420028,1,Qatar,Qatar,Qatar,0.0,mobile,0,5,2,29.26,117,1,1,sports,0,0,1,54,standard,1,0,0,0
TX2000011,U21238,2025-07-08 03:17:41,64.2,AED,bank_transfer,,0,United Arab Emirates,United Arab Emirates,United Arab Emirates,0.0,desktop,3,1,3,49.37,90,1,2,electronics,0,1,0,0,standard,0,1,0,0
TX2000012,U20330,2025-04-01 00:02:48,25.51,AED,google_pay,,0,United Arab Emirates,United Arab Emirates,United Arab Emirates,0.0,mobile,0,1,0,88.38,1372,1,4,fashion,0,0,0,0,express,1,0,0,0
TX2000013,U21482,2025-08-21 10:51:23,99.95,SAR,apple_pay,,0,Saudi Arabia,Saudi Arabia,Saudi Arabia,0.0,desktop,10,3,1,67.89,86,1,2,electronics,0,0,0,79,overnight,1,0,1,0
TX2000014,U22135,2025-08-01 22:05:13,328.94,OMR,apple_pay,,0,Oman,Oman,Oman,0.0,mobile,22,4,3,144.16,176,1,4,electronics,0,0,0,0,express,1,0,0,0
TX2000015,U23444,2025-04-26 03:04:59,85.97,BHD,credit_card,416192,1,Bahrain,Bahrain,Bahrain,0.0,mobile,3,5,1,128.68,283,1,3,groceries,0,0,0,0,standard,1,0,0,0
TX2000016,U23171,2025-08-11 00:42:43,53.38,QAR,apple_pay,,0,Qatar,Qatar,Qatar,0.0,mobile,0,0,3,139.05,116,1,1,sports,0,0,1,93,standard,1,0,0,0
TX2000017,U22919,2025-08-25 08:43:49,90.64,AED,credit_card,483636,0,United Arab Emirates,United Arab Emirates,United Arab Emirates,0.0,mobile,8,0,4,99.7,145,1,3,sports,0,0,0,48,standard,1,0,0,0
TX2000018,U23735,2025-06-05 09:11:04,16.51,BHD,bank_transfer,,0,Bahrain,United Arab Emirates,United Arab Emirates,0.0,mobile,9,3,5,40.65,382,0,2,beauty,0,0,0,132,standard,1,0,0,0
TX2000019,U20130,2025-06-24 07:43:01,185.82,BHD,credit_card,471812,1,Bahrain,Bahrain,Bahrain,0.0,mobile,7,1,3,82.59,385,1,3,home,0,0,0,25,standard,1,0,0,0
TX2000020,U21685,2025-07-31 03:38:08,68.12,BHD,credit_card,427551,1,Bahrain,Bahrain,Bahrain,0.0,mobile,3,3,2,117.17,488,1,5,home,0,0,1,0,standard,1,0,0,0
TX2000021,U23380,2025-07-01 14:13:06,55.76,OMR,debit_card,520920,0,Oman,Oman,Oman,0.0,desktop,14,1,1,19.06,270,1,2,groceries,0,0,0,0,express,1,0,0,0
TX2000022,U20769,2025-09-05 04:24:53,83.21,AED,credit_card,461444,1,United Arab Emirates,Oman,Oman,0.0,mobile,4,4,1,130.84,79,0,2,electronics,0,0,1,71,standard,1,1,0,0
