user_id,transaction_frequency_24h,transaction_frequency_7d,avg_tx_amount_user,deviation_from_avg_tx,login_location_velocity,account_device_count,account_ip_count,new_device_flag,multiple_cards_on_account,name_mismatch_score,card_attempts_last_24h,multiple_cards_same_ip,session_length,checkout_speed,time_of_day_risk,prior_chargeback_flag,prior_fraud_ip_flag,payment_method,shipping_country,billing_country,item_category,fraud_label
U57270,1,1,312.27,-0.89,0,4,3,0,0,0.34,0,0,732.4,385.0,0,0,0,debit_card,Tunisia,Tunisia,groceries,0
U57603,1,2,280.54,-0.46,0,3,3,0,1,0.46,0,0,1160.8,119.1,0,0,0,bank_transfer,Libya,Libya,electronics,0
U50860,2,7,324.36,-0.11,1,3,2,0,0,0.3,0,0,981.0,328.4,1,0,0,bank_transfer,Egypt,Egypt,fashion,0
U55390,2,5,121.39,0.45,0,3,3,0,0,0.47,0,0,177.1,361.6,0,0,0,credit_card,Tunisia,Tunisia,fashion,0
U55226,0,5,342.74,-0.95,0,1,4,0,0,0.03,0,0,692.8,570.3,0,0,0,credit_card,Egypt,Egypt,electronics,0
U55191,0,2,188.12,-0.5,1,2,1,1,0,0.28,0,1,1669.6,406.8,0,0,0,credit_card,Libya,Libya,electronics,0
U53772,0,2,119.53,0.8,0,2,2,0,1,0.27,0,0,138.9,520.7,0,0,1,apple_pay,Libya,Egypt,beauty,1
U53092,2,3,24.03,3.33,0,2,3,0,0,0.31,1,0,532.4,503.5,0,0,0,google_pay,Libya,Libya,home,0
U55734,0,2,351.12,-0.8,0,2,1,0,0,0.37,0,0,1546.1,453.7,0,0,0,paypal,Libya,Libya,luxury,0
U56265,0,2,223.43,-0.82,0,3,2,0,0,0.12,0,0,32.4,223.5,1,0,0,apple_pay,Tunisia,Tunisia,electronics,0
U50466,0,2,390.65,-0.87,0,3,3,0,0,0.31,0,0,1695.9,527.5,0,0,0,google_pay,Tunisia,Tunisia,home,0
U55334,2,5,291.58,-0.88,0,1,3,0,0,0.69,0,0,1248.1,455.9,0,0,0,credit_card,Tunisia,Tunisia,electronics,0
U54426,2,4,50.56,-0.47,0,3,4,1,1,0.51,1,0,701.0,438.5,0,0,0,credit_card,Egypt,Egypt,home,0
U55578,2,2,243.51,-0.56,0,1,5,0,0,0.05,0,0,80.4,87.2,0,1,0,debit_card,Algeria,Algeria,electronics,0
U56231,1,2,26.51,2.14,0,3,3,1,0,0.21,0,0,110.8,556.7,0,0,0,paypal,Tunisia,Tunisia,electronics,0
U53444,0,2,231.96,-0.31,0,2,3,1,0,0.23,0,1,553.2,6.3,1,0,0,apple_pay,Tunisia,Tunisia,fashion,0
U53171,1,8,153.08,-0.71,0,2,1,0,0,0.52,0,0,1196.7,189.2,0,1,0,credit_card,Libya,Libya,fashion,0
U52919,1,2,264.45,-0.72,1,4,1,0,0,0.16,0,1,149.1,408.0,0,0,0,debit_card,Algeria,Algeria,home,0
U57831,2,5,225.8,-0.39,0,1,1,0,0,0.18,0,0,1590.5,94.0,0,0,0,debit_card,Egypt,Algeria,electronics,0
U50130,0,2,119.31,2.3,0,2,2,0,0,0.29,0,0,1548.0,464.8,0,0,0,credit_card,Tunisia,Tunisia,electronics,0
U51685,3,4,81.69,-0.37,0,1,1,0,1,0.28,0,0,534.7,90.5,0,0,0,debit_card,Libya,Libya,electronics,1
U57476,1,4,173.79,-0.75,0,1,1,1,0,0.1,1,0,374.2,5.9,0,0,0,bank_transfer,Egypt,Egypt,electronics,0
